7,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,515,0,0,0,0,0,0
0,0,0,0,1,1,0,4,2,0,0,0,0,2,0,2,1,0,580,5,0,0,0,2,0
1,0,240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,357,0,0,0,0,0,0
5,0,386,0,0,0,1,0,2,0,1,0,3,3,0,2,1,0,194,0,0,1,0,0,1
19,0,1,0,2,0,0,2,6,2,3,0,0,0,1,5,1,0,546,2,0,2,0,7,1
2,0,0,0,3,1,7,0,6,1,0,0,0,0,15,1,0,1,323,13,1,225,0,1,0
1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,592,0,0,2,0,0,0
573,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0
4,0,1,0,2,0,0,4,15,107,0,0,0,5,1,123,0,5,325,4,0,4,0,0,0
3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,586,1,0,3,0,2,0
27,0,25,0,2,0,0,1,5,0,4,0,6,110,3,8,1,0,351,53,0,4,0,0,0
3,0,0,0,0,0,0,0,151,0,1,0,0,362,0,0,0,2,79,1,0,0,0,1,0
7,0,1,0,0,0,0,1,573,0,1,0,0,8,0,1,2,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,0,1,2,182,1,3,0,0,0,1,3,1,4,263,130,0,0,0,0,1
3,0,0,0,0,0,0,2,1,0,3,0,3,1,0,0,0,0,586,1,0,0,0,0,0
2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,4,3,0,561,1,1,0,0,24,0
1,1,3,0,1,2,2,2,2,0,2,0,0,1,3,3,0,1,307,239,0,3,1,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,318,0,0,0,0,0
26,1,4,0,0,1,1,3,2,2,0,0,2,1,0,2,2,0,542,6,1,0,1,1,2
2,0,1,0,3,0,0,0,112,1,3,0,0,2,1,2,0,0,271,189,0,12,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,360,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,592,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,269,321,0,4,0,4,0
0,0,2,0,2,0,0,1,1,11,38,3,1,0,0,1,1,0,2,536,1,0,0,0,0
1,0,0,0,0,0,0,0,122,0,472,0,2,0,0,0,1,0,0,0,2,0,0,0,0
4,1,0,0,0,0,0,2,358,0,5,0,0,1,0,10,2,0,180,37,0,0,0,0,0
5,1,0,0,0,0,0,0,147,0,0,1,1,0,0,0,1,0,436,1,6,0,1,0,0
0,0,4,76,0,0,0,0,0,0,0,0,1,1,0,0,0,0,292,1,0,225,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,360,0,0,0
202,0,1,0,0,0,2,0,0,0,0,6,5,0,0,0,0,0,214,0,0,169,0,1,0
316,0,0,0,1,2,0,0,7,0,0,0,0,1,1,0,1,0,5,265,0,0,0,0,1
1,0,1,0,5,0,4,0,2,29,32,3,1,12,0,0,0,0,295,206,0,5,0,3,1
169,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,426,0,0,1,0,0,0
2,0,0,0,5,1,12,2,5,1,2,0,4,0,2,121,2,0,277,3,1,160,0,0,0
7,0,0,0,1,0,0,0,7,10,3,0,0,0,0,3,0,0,566,2,1,0,0,0,0
