ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
8.042722,14.467413,3.289633,8.042722,14.467413,3.289633,0.465223,-9.696218,1.392528,-0.300305,-1.273738,2.178356,2014,10,8,14,36,34,0,2014-10-08 14:36:34:408
19.162144,-19.525164,-4.437354,8.042722,14.467413,3.289633,0.465223,-9.696218,1.392528,-0.300305,-1.273738,2.178356,2014,10,8,14,36,34,0,2014-10-08 14:36:34:411
19.162144,-19.525164,-4.437354,26.304794,-16.225954,-10.291327,0.465223,-9.696218,1.392528,-0.300305,-1.273738,2.178356,2014,10,8,14,36,34,0,2014-10-08 14:36:34:413
26.304794,-16.225954,-10.291327,26.304794,-16.225954,-10.291327,-7.142652,-3.299210,5.853973,-0.300305,-1.273738,2.178356,2014,10,8,14,36,34,0,2014-10-08 14:36:34:415
26.304794,-16.225954,-10.291327,26.304794,-16.225954,-10.291327,-7.142652,-3.299210,5.853973,0.479485,5.766590,-7.296108,2014,10,8,14,36,34,0,2014-10-08 14:36:34:604
-3.609109,-12.253973,-0.972944,26.304794,-16.225954,-10.291327,-7.142652,-3.299210,5.853973,0.479485,5.766590,-7.296108,2014,10,8,14,36,34,0,2014-10-08 14:36:34:606
-3.609109,-12.253973,-0.972944,1.525106,-4.227861,-3.295020,-7.142652,-3.299210,5.853973,0.479485,5.766590,-7.296108,2014,10,8,14,36,34,0,2014-10-08 14:36:34:608
1.525106,-4.227861,-3.295020,1.525106,-4.227861,-3.295020,-5.134216,-8.026113,2.322076,0.479485,5.766590,-7.296108,2014,10,8,14,36,34,0,2014-10-08 14:36:34:610
1.525106,-4.227861,-3.295020,1.525106,-4.227861,-3.295020,-5.134216,-8.026113,2.322076,4.825764,2.894637,-3.822281,2014,10,8,14,36,34,0,2014-10-08 14:36:34:804
1.016488,-14.138210,-6.450877,1.525106,-4.227861,-3.295020,-5.134216,-8.026113,2.322076,4.825764,2.894637,-3.822281,2014,10,8,14,36,34,0,2014-10-08 14:36:34:806
1.016488,-14.138210,-6.450877,-1.785326,-6.483498,-11.903073,-5.134216,-8.026113,2.322076,4.825764,2.894637,-3.822281,2014,10,8,14,36,34,0,2014-10-08 14:36:34:807
-1.785326,-6.483498,-11.903073,-1.785326,-6.483498,-11.903073,2.801815,-7.654712,5.452196,4.825764,2.894637,-3.822281,2014,10,8,14,36,34,0,2014-10-08 14:36:34:809
-1.785326,-6.483498,-11.903073,-1.785326,-6.483498,-11.903073,2.801815,-7.654712,5.452196,-3.002864,-1.089452,1.303772,2014,10,8,14,36,35,0,2014-10-08 14:36:35:4
14.740052,-19.525164,6.283882,-1.785326,-6.483498,-11.903073,2.801815,-7.654712,5.452196,-3.002864,-1.089452,1.303772,2014,10,8,14,36,35,0,2014-10-08 14:36:35:6
14.740052,-19.525164,6.283882,13.145963,-10.830919,2.036418,2.801815,-7.654712,5.452196,-3.002864,-1.089452,1.303772,2014,10,8,14,36,35,0,2014-10-08 14:36:35:8
13.145963,-10.830919,2.036418,13.145963,-10.830919,2.036418,1.594089,-8.694244,4.247463,-3.002864,-1.089452,1.303772,2014,10,8,14,36,35,0,2014-10-08 14:36:35:10
13.145963,-10.830919,2.036418,13.145963,-10.830919,2.036418,1.594089,-8.694244,4.247463,0.229137,-4.564342,8.086311,2014,10,8,14,36,35,0,2014-10-08 14:36:35:204
6.238242,2.784008,1.533785,13.145963,-10.830919,2.036418,1.594089,-8.694244,4.247463,0.229137,-4.564342,8.086311,2014,10,8,14,36,35,0,2014-10-08 14:36:35:206
6.238242,2.784008,1.533785,11.836036,10.733954,0.255132,1.594089,-8.694244,4.247463,0.229137,-4.564342,8.086311,2014,10,8,14,36,35,0,2014-10-08 14:36:35:207
11.836036,10.733954,0.255132,11.836036,10.733954,0.255132,-5.597793,-7.949947,1.278653,0.229137,-4.564342,8.086311,2014,10,8,14,36,35,0,2014-10-08 14:36:35:209
11.836036,10.733954,0.255132,11.836036,10.733954,0.255132,-5.597793,-7.949947,1.278653,0.343121,0.978229,-0.147117,2014,10,8,14,36,35,0,2014-10-08 14:36:35:409
19.587713,-16.115820,-3.082235,11.836036,10.733954,0.255132,-5.597793,-7.949947,1.278653,0.343121,0.978229,-0.147117,2014,10,8,14,36,35,0,2014-10-08 14:36:35:411
19.587713,-16.115820,-3.082235,28.025328,-17.634792,-7.843704,-5.597793,-7.949947,1.278653,0.343121,0.978229,-0.147117,2014,10,8,14,36,35,0,2014-10-08 14:36:35:413
