ACCELERATION X,ACCELERATION Y,ACCELERATION Z,LINEAR_ACCELERATION X,LINEAR_ACCELERATION Y,LINEAR_ACCELERATION Z,GRAVITY X,GRAVITY Y,GRAVITY Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,Year,Month,Day,Hour,Minute,Second,Millisecond,Date
0.044442,0.131681,9.906309,0.015413,0.001796,0.100706,0.029030,0.129885,9.805603,-0.002451,-0.000297,-0.000308,2014,10,13,16,27,57,86,2014-10-13 16:27:57:86,
0.013318,0.131681,9.808146,-0.018854,0.004639,0.002394,0.032172,0.127042,9.805753,-0.001329,-0.002443,0.000753,2014,10,13,16,27,57,604,2014-10-13 16:27:57:604,
-0.008230,0.143652,9.887156,-0.039504,0.018555,0.081403,0.031274,0.125097,9.805753,-0.000264,-0.001377,-0.000312,2014,10,13,16,27,58,123,2014-10-13 16:27:58:123,
0.042048,0.124498,9.920674,0.015413,-0.000898,0.114922,0.026635,0.125396,9.805753,0.000776,-0.000305,-0.002441,2014,10,13,16,27,58,642,2014-10-13 16:27:58:642,
0.030077,0.124498,9.810541,-0.001496,0.001646,0.004788,0.031574,0.122852,9.805753,0.000776,0.000760,0.000755,2014,10,13,16,27,59,162,2014-10-13 16:27:59:162,
0.001347,0.148441,9.918280,-0.030526,0.026935,0.112527,0.031873,0.121506,9.805753,-0.000308,0.001830,-0.000309,2014,10,13,16,27,59,679,2014-10-13 16:27:59:679,
0.018106,0.107739,9.927856,-0.009876,-0.016011,0.122104,0.027982,0.123750,9.805753,0.001823,0.000765,0.000756,2014,10,13,16,28,0,210,2014-10-13 16:28:00:210,
0.032471,0.122104,9.868002,0.005537,0.003891,0.062100,0.026935,0.118214,9.805902,0.000820,-0.000317,-0.002444,2014,10,13,16,28,0,729,2014-10-13 16:28:00:729,
0.032471,0.110133,9.822512,0.004339,-0.005387,0.016610,0.028132,0.115520,9.805902,-0.001311,0.000748,-0.001379,2014,10,13,16,28,1,246,2014-10-13 16:28:01:246,
0.008529,0.136469,9.846454,-0.022146,0.024541,0.040552,0.030676,0.111929,9.805902,-0.001329,-0.001377,0.000753,2014,10,13,16,28,1,765,2014-10-13 16:28:01:765,
0.063596,0.134075,9.896732,0.033369,0.020051,0.090830,0.030227,0.114024,9.805902,-0.000264,0.000753,-0.012030,2014,10,13,16,28,2,283,2014-10-13 16:28:02:283,
0.044442,0.131681,9.949405,0.007781,0.016610,0.143502,0.036661,0.115071,9.805902,-0.001411,0.000775,-0.007763,2014,10,13,16,28,2,802,2014-10-13 16:28:02:802,
0.046837,0.155623,9.868002,0.008380,0.038307,0.062249,0.038457,0.117316,9.805753,0.001785,-0.002421,-0.008828,2014,10,13,16,28,3,320,2014-10-13 16:28:03:320,
0.207248,0.155623,9.937433,0.164601,0.035314,0.131681,0.042647,0.120309,9.805753,-0.000295,-0.004565,-0.121750,2014,10,13,16,28,3,841,2014-10-13 16:28:03:841,
0.054019,0.100556,9.853637,-0.017059,-0.022895,0.048034,0.071078,0.123451,9.805603,-0.001361,-0.000304,-0.001375,2014,10,13,16,28,4,358,2014-10-13 16:28:04:358,
0.054019,0.119710,9.899126,-0.017208,0.002095,0.093524,0.071227,0.117615,9.805603,-0.001386,0.001834,-0.000308,2014,10,13,16,28,4,876,2014-10-13 16:28:04:876,
0.061202,0.124498,9.961375,-0.008380,0.008679,0.155773,0.069581,0.115820,9.805603,-0.002388,-0.001379,-0.000313,2014,10,13,16,28,5,394,2014-10-13 16:28:05:394,
0.051625,0.088585,9.927856,-0.016759,-0.026785,0.122254,0.068384,0.115371,9.805603,-0.000258,-0.001379,-0.006704,2014,10,13,16,28,5,912,2014-10-13 16:28:05:912,
0.020500,0.117316,9.966164,-0.045490,0.007482,0.160412,0.065990,0.109834,9.805753,-0.001386,0.002899,-0.000308,2014,10,13,16,28,6,430,2014-10-13 16:28:06:430,
0.070779,0.138864,9.901521,0.012420,0.027833,0.095768,0.058359,0.111031,9.805753,-0.002451,-0.000297,0.000757,2014,10,13,16,28,6,949,2014-10-13 16:28:06:949,
0.077961,0.045490,9.939828,0.015413,-0.065392,0.134075,0.062549,0.110881,9.805753,-0.002382,0.000750,0.001817,2014,10,13,16,28,7,467,2014-10-13 16:28:07:467,
0.077961,0.114922,9.875184,0.011971,0.018405,0.069282,0.065990,0.096516,9.805902,-0.002382,-0.001381,0.000752,2014,10,13,16,28,7,985,2014-10-13 16:28:07:985,
0.068384,0.107739,9.958982,0.000748,0.011522,0.153079,0.067636,0.096217,9.805902,0.000795,0.000755,-0.001377,2014,10,13,16,28,8,503,2014-10-13 16:28:08:503,
